Model,MoleculeID,SMILES,Canonical_SMILES,Energy_eV,OscillatorStrength_fL,Amplitude,Norm_SAScore,Norm_SCScore,Norm_RAScore,Norm_SYBA,Norm_Bertz,Norm_Barone,Norm_Bottcher,Norm_Spacial,SynthScore,ComplexityScore
MolDQN-MLP,mol032,C=Cn1cccc1C=C1C=CC(O)=N1,C=Cn1cccc1C=C1C=CC(O)=N1,3.691,0.86333,0.96,0.663,0.461,0.531,0.575,124.621,126.748,119.861,157.666,0.553,131.443
MolDQN-MLP,mol033,FBn1cccc1C=C1C=CC=N1,FBn1cccc1C=C1C=CC=N1,3.884,0.914946,-0.94,0.627,0.595,0.077,0.577,30.579,70.86,129.904,114.939,0.358,75.419
MolDQN-MLP,mol035,C=C=C(N=N)C(=Cc1ccc(O)n1CN)N=CC,C=C=C(N=N)C(=Cc1ccc(O)n1CN)N=CC,3.823,0.736414,0.94,0.589,0.404,0.0,0.409,248.938,203.594,214.518,88.489,0.019,176.117
MolDQN-MLP,mol037,Cn1cccc1C=C1C=CC(O)=N1,Cn1cccc1C=C1C=CC(O)=N1,3.824,1.38493,-0.98,0.719,0.43,0.994,0.68,74.369,84.832,77.497,143.424,0.676,91.509
MolDQN-MLP,mol040,NC1=NC(=Cc2cccn2B(F)F)C=C1,NC1=NC(=Cc2cccn2B(F)F)C=C1,3.629,1.074765,0.96,0.64,0.424,0.24,0.622,137.499,154.692,172.755,186.151,0.449,161.721
MolDQN-MLP,mol041,C=CBn1cccc1C=C1C=CC(N)=N1,C=CBn1cccc1C=C1C=CC(N)=N1,3.353,0.675282,-0.95,0.603,0.436,0.997,0.608,145.499,154.692,198.845,173.943,0.632,167.037
MolDQN-MLP,mol041,C=CBn1cccc1C=C1C=CC(N)=N1,C=CBn1cccc1C=C1C=CC(N)=N1,4.321,0.257813,0.92,0.603,0.436,0.997,0.608,145.499,154.692,198.845,173.943,0.632,167.037
MolDQN-MLP,mol043,NC1=CC=Cc2cccn2CC=C1N,NC1=CC=Cc2cccn2CC=C1N,4.176,0.333376,0.95,0.634,0.537,0.8,0.488,88.669,161.678,167.051,206.497,0.604,149.124
MolDQN-MLP,mol049,CC(=Cc1cccn1B(F)C=CO)N=C1C=CC=CC1=N,CC(=Cc1cccn1B(F)C=CO)N=C1C=CC=CC1=N,1.902,0.329727,0.92,0.595,0.402,0.0,0.462,422.908,392.217,489.154,308.228,0.004,397.67
MolDQN-RF,mol001,CC=CC=Cc1ccc(C)n1CC,CC=CC=Cc1ccc(C)n1CC,4.33,0.87359,0.97,0.776,0.515,1.0,0.625,126.106,143.714,297.167,160.465,0.707,171.456
MolDQN-RF,mol002,Cn1cc(N)cc1C=CC=CC=N,Cn1cc(N)cc1C=CC=CC=N,3.418,0.983465,0.95,0.7,0.536,0.483,0.558,170.625,198.604,387.951,132.324,0.564,204.226
MolDQN-RF,mol002,Cn1cc(N)cc1C=CC=CC=N,Cn1cc(N)cc1C=CC=CC=N,4.301,0.779013,-0.94,0.7,0.536,0.483,0.558,170.625,198.604,387.951,132.324,0.564,204.226
MolDQN-RF,mol003,C1=CCn2cccc2C=C1,C1=CCn2cccc2C=C1,4.31,0.313985,-0.95,0.722,0.684,1.0,0.512,69.375,187.626,221.535,277.718,0.709,168.223
MolDQN-RF,mol004,C=CC=Cc1cccn1C=N,C=CC=Cc1cccn1C=N,4.648,0.72547,0.96,0.672,0.568,1.0,0.514,73.698,77.846,244.784,33.831,0.665,83.023
MolDQN-RF,mol005,C=CC=Cc1cccn1C,C=CC=Cc1cccn1C,4.583,1.256986,-0.97,0.774,0.571,1.0,0.632,14.939,1.0,162.76,1.0,0.727,7.022
MolDQN-RF,mol007,[B]NC(C=CC=Cc1cc(F)c[nH]1)NN,[B]NC(C=CC=Cc1cc(F)c[nH]1)NN,2.797,1.947321,0.93,0.558,0.396,0.001,0.577,168.466,286.429,525.591,418.423,0.117,320.958
MolDQN-RF,mol008,Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,3.451,1.629516,-0.98,0.709,0.626,1.0,0.665,416.261,637.725,217.353,437.183,0.737,398.526
MolDQN-RF,mol008,Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,4.861,0.387565,-0.96,0.709,0.626,1.0,0.665,416.261,637.725,217.353,437.183,0.737,398.526
MolDQN-RF,mol010,C=CC=Cc1cccn1CCCCCCCCC,C=CC=Cc1cccn1CCCCCCCCC,4.461,0.407684,0.95,0.826,0.48,1.0,0.752,172.448,264.473,413.898,451.254,0.739,303.8
MolDQN-RF,mol011,N=Cc1cc(N)c2n1CC=CC=C2,N=Cc1cc(N)c2n1CC=CC=C2,3.568,0.354478,0.96,0.654,0.484,0.076,0.412,249.174,407.187,473.243,427.803,0.316,378.578
MolDQN-RF,mol015,C#Cn1cccc1C=C1C=CC=N1,C#Cn1cccc1C=C1C=CC=N1,3.868,1.017383,0.92,0.675,0.582,0.186,0.555,292.422,429.143,356.322,394.972,0.449,364.548
MolDQN-RF,mol015,C#Cn1cccc1C=C1C=CC=N1,C#Cn1cccc1C=C1C=CC=N1,4.106,0.224864,0.94,0.675,0.582,0.186,0.555,292.422,429.143,356.322,394.972,0.449,364.548
MolDQN-RF,mol016,C=Cn1c(C)ccc1C=C1C=CC=N1,C=Cn1c(C)ccc1C=C1C=CC=N1,3.535,1.17932,-0.96,0.7,0.63,0.0,0.505,301.553,429.143,401.793,479.394,0.045,397.343
MolDQN-RF,mol021,On1cccc1C=C1C=CC=N1,On1cccc1C=C1C=CC=N1,4.19,0.241017,0.91,0.714,0.592,0.003,0.546,189.819,308.385,343.309,380.901,0.166,295.789
MolDQN-RF,mol023,Cn1cccc1C=C1C=CC=N1,Cn1cccc1C=C1C=CC=N1,3.789,1.107417,0.96,0.762,0.563,0.744,0.629,182.665,297.407,281.053,385.592,0.669,277.0
MolDQN-RF,mol026,C=C(C)n1cccc1C=C1C=CC=N1,C=C(C)n1cccc1C=C1C=CC=N1,3.773,0.972075,-0.93,0.712,0.55,0.285,0.542,301.179,429.143,401.793,479.394,0.496,397.219
MolDQN-RF,mol029,C#Cc1c(O)c(OO)n(C)c1C#CC=C,C#Cc1c(O)c(OO)n(C)c1C#CC=C,4.125,1.011127,-0.96,0.622,0.383,0.854,0.556,398.766,484.033,542.655,188.606,0.58,374.902
MolDQN-RF,mol029,C#Cc1c(O)c(OO)n(C)c1C#CC=C,C#Cc1c(O)c(OO)n(C)c1C#CC=C,5.049,0.359545,0.92,0.622,0.383,0.854,0.556,398.766,484.033,542.655,188.606,0.58,374.902
MolDQN-RF,mol030,ONC1C=CC=CC=Cc2cccn21,ONC1C=CC=CC=Cc2cccn21,3.856,0.234922,0.96,0.593,0.548,0.536,0.435,235.75,440.121,457.949,892.127,0.525,453.75
MolDQN-RF,mol031,OC1(O)C=CC=Cc2cccn21,OC1(O)C=CC=Cc2cccn21,4.282,0.340624,0.95,0.682,0.58,0.636,0.535,173.849,319.363,362.414,643.549,0.606,337.334
MolDQN-RF,mol032,CCn1cccc1C=C1C=CC=N1,CCn1cccc1C=C1C=CC=N1,3.664,1.046793,0.95,0.761,0.598,0.74,0.638,203.416,330.341,329.349,441.873,0.681,314.467
MolDQN-RF,mol033,CC#CC(N)=c1c(=CN(C(C)C)C(C)C)[nH]c2ccn(B(F)F)c12,CC#CC(N)=c1c(=CN(C(C)C)C(C)C)[nH]c2ccn(B(F)F)c12,2.819,0.423158,-0.97,0.612,0.09,0.005,0.615,1000.0,1000.0,999.9,807.704,0.113,947.987
MolDQN-RF,mol034,N=C=CC=Cc1cccn1C(=N)C(N)NN,N=C=CC=Cc1cccn1C(=N)C(N)NN,4.733,0.360915,-0.91,0.568,0.462,0.0,0.507,312.276,396.209,588.009,437.183,0.015,422.306
MolDQN-RF,mol039,Cn1cccc1C=C1C=C(N)C=N1,Cn1cccc1C=C1C=C(N)C=N1,3.182,0.621737,-0.93,0.717,0.523,0.675,0.659,265.971,374.253,384.763,488.775,0.639,369.892
MolDQN-RF,mol039,Cn1cccc1C=C1C=C(N)C=N1,Cn1cccc1C=C1C=C(N)C=N1,4.004,0.555315,0.93,0.717,0.523,0.675,0.659,265.971,374.253,384.763,488.775,0.639,369.892
MolDQN-RF,mol041,Fn1cccc1C=C1C=CC=N1,Fn1cccc1C=C1C=CC=N1,4.027,1.041337,-0.93,0.687,0.665,0.003,0.527,189.819,308.385,345.457,385.592,0.159,297.159
MolDQN-RF,mol042,Cn1cccc1C=CC=C=CN=NC(N)=NNOO,Cn1cccc1C=CC=C=CN=NC(N)=NNOO,4.313,1.561054,-0.91,0.6,0.359,0.166,0.548,463.619,571.857,563.506,362.141,0.374,482.288
MolDQN-RF,mol043,N#Cn1cccc1C=C1C=CC=N1,N#Cn1cccc1C=C1C=CC=N1,4.112,0.332515,0.9,0.683,0.556,0.006,0.552,295.594,440.121,376.745,394.972,0.188,373.01
MolDQN-RF,mol045,CCn1cccc1C=CC=CN,CCn1cccc1C=CC=CN,4.579,0.695447,0.95,0.743,0.55,1.0,0.623,74.119,88.824,288.25,94.803,0.71,115.814
MolDQN-RF,mol049,CC=C(N)C=Cc1cccn1C,CC=C(N)C=Cc1cccn1C,4.508,0.512622,0.9,0.736,0.621,0.997,0.681,110.132,121.758,296.268,99.493,0.746,141.001
MolDQN-RF,mol049,CC=C(N)C=Cc1cccn1C,CC=C(N)C=Cc1cccn1C,4.918,0.320202,-0.9,0.736,0.621,0.997,0.681,110.132,121.758,296.268,99.493,0.746,141.001
MolFinder-MLP,mol002,C[P](P)(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH]S(=N)PO)=CC21Cl,C[P](P)(PN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH]S(=N)PO)=CC21Cl,4.802,0.194481,-0.9,0.933,0.001,0.0,0.142,832.797,679.566,525.616,632.721,0.0,658.662
MolFinder-MLP,mol015,N=S(NPN1ONN[PH]1C1=CC=C1)[SH](P)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,N=S(NPN1ONN[PH]1C1=CC=C1)[SH](P)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,3.862,0.156282,-0.9,0.527,0.091,0.0,0.092,853.208,811.509,512.741,588.647,0.0,676.123
MolFinder-MLP,mol017,FC(=[SH][S](P)[SH](CP)N1ONN[PH]1C1=CC=C1)C1=CC2(Cl)NPPC2=C1,FC(=[SH][S](P)[SH](CP)N1ONN[PH]1C1=CC=C1)C1=CC2(Cl)NPPC2=C1,3.482,0.20085,0.9,1.0,0.102,0.0,0.131,531.901,472.226,134.486,270.338,0.001,309.13
MolFinder-MLP,mol025,O[SH](SNPN1ONN[PH]1C1=CC=C1)[SH](O)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,O[SH](SNPN1ONN[PH]1C1=CC=C1)[SH](O)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,1.966,0.215161,0.91,0.612,0.088,0.0,0.138,799.14,868.057,599.36,740.456,0.0,744.886
MolFinder-RF,mol024,OOOOOO[SH](NP1PN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,OOOOOO[SH](NP1PN[PH]1OO)ON[SH]=CON(F)N1ONN[PH]1C1=CC=C1,3.005,0.34613,-0.93,0.927,0.131,0.0,0.239,710.641,719.579,633.895,677.488,0.001,684.561
MolFinder-RF,mol039,OOOOOON[SH](NN=CON(F)N1ONN[PH]1C1=CC=C1)NNP1PPN[PH]1OO,OOOOOON[SH](NN=CON(F)N1ONN[PH]1C1=CC=C1)NNP1PPN[PH]1OO,1.585,0.461476,0.94,0.759,0.14,0.0,0.217,859.22,824.737,563.165,824.323,0.005,757.335
ReLeaSE-MLP_mod3,mol008,O=CSNN1C=Cc2ccccc2C1,O=CSNN1C=Cc2ccccc2C1,4.214,0.310878,-0.95,0.703,0.557,0.998,0.513,709.054,629.159,550.324,303.946,0.669,522.653
ReLeaSE-RF_mod3,mol016,CC[SH]1CCCCN(CNC(=O)C(=O)CC(C)(C)C)CN1,CC[SH]1CCCCN(CNC(=O)C(=O)CC(C)(C)C)CN1,2.382,0.253921,-0.98,0.604,0.224,0.663,0.658,297.982,348.323,510.482,364.273,0.493,372.73
ReLeaSE-RF_mod3,mol026,CC1=CN=CCN1CC1CC1,CC1=CN=CCN1CC1CC1,4.603,0.256641,0.96,0.727,0.61,0.997,0.582,168.781,208.677,209.466,185.026,0.712,192.215
ReLeaSE-RF_mod3,mol031,CCNC(=O)CCCCN1CCN(C)C=C(Cl)C=N1,CCNC(=O)CCCCN1CCN(C)C=C(Cl)C=N1,4.398,0.254701,-0.95,0.742,0.292,0.258,0.677,288.078,316.097,500.132,216.892,0.441,315.257
ReLeaSE-RF_mod3,mol036,CN1CCCC(=O)C2=CC=C(C3CCN(C(C)(C)C)C(=O)N3)C(=N1)CCNC=C2,CN1CCCC(=O)C2=CC=C(C3CCN(C(C)(C)C)C(=O)N3)C(=N1)CCNC=C2,3.107,0.227721,-0.93,0.502,0.245,0.001,0.272,648.698,667.0,712.235,537.943,0.066,638.09
ReLeaSE-RF_mod3,mol044,COC1=CC=C2CCCC(CC2)CN(C(=O)C(C)(C)C)C1,COC1=CC=C2CCCC(CC2)CN(C(=O)C(C)(C)C)C1,5.091,0.64303,-0.96,0.568,0.444,0.297,0.455,371.368,423.516,421.069,378.612,0.43,397.929
